WardName,OldCode,Wardcode,Pop2015,Aged0_15,Aged16_64,Aged65plus,Pct0_15,Pct16_64,Pct65plus,MeanAge13,MedAge13,AreaSqKM,PopDenKm13,PctBame11,PctNBnUK11,PctNoEng11,GenFtRt13,MaleLE0913,FemLE0913,PctYr1Obes,PctYr6Obes,RtAmbulanc,RtAmbAlco,RoadKilled,InEmp2011,EmpRt2011,NoJobs2013,EmpWkAge13,RtNINo1112,MedHouPr14,NPropSld13,MedHHIncom,NumHHSpace,PctDetach,PctSemi,PctTerrace,PctFlat,PctOwned11,PctSocRen11,PctPRent11,PctCTaxAB,PctCTaxCDE,PctCTaxFGH,IncapBen2014,InSupp2014,EmpSup2014,JSA2014,PctDepChild,PctHHNoEmp,PctLonePar,IDRankLond,ID50pctNat,AvgGCSE2013,UnauthAbs13,PctNoQl11,PctLev4Q11,ALevSt1213,ALevEn1213,CriRt1314,ViolRt1314,RobRt1314,Theft1314,CriDam1314,DrugRt1314,Arson14,PctOpSpace,CarPerHH11,PTAL14,PctBike11,Turnout12,Candidate,InnerOuter,x,y
Waltham Forest - Hatch Lane,00BHGF,E05000598,11400,2250,7350,1850,19.50578339,64.32702419,16.16719243,38.9,39,2.4,4729.2,22.2,16.5,4.4,66.25,79.1416539,81.31573374,6.951871658,17.64705882,129.2558793,0.90523338,1,4914,69.88054608,1600,0.220689655,10.6870229,288250,156,34955,4597,4.8,37.4,27.5,30.4,62.6,24.7,11.3,14.18670132,77.47455057,8.338748105,1.577503429,2.812071331,5.418381344,4.429112565,22.22222222,5.753485284,47.36842105,179,71.42857143,356.9777778,1.202606952,26.2,24.1,733.8061224,206.2867347,62.65399507,15.83949314,2.991904259,20.50334389,5.895811334,3.695881732,0.438750439,37.70501289,1.095817659,2.50476746,1.787117046,34.43461432,Boris,Outer,539233.0462,192847.3427
Waltham Forest - High Street,00BHGG,E05000599,14850,3200,10450,1200,21.63053723,70.43220681,7.937255958,33.3,32,3.1,4725.8,50.7,44.4,18,95.36231884,80.1670472,84.82483495,11.95079086,23.87267905,144.895719,0.987326849,4,7146,69.41907908,3600,0.347826087,90.60773481,335000,159,28929,5623,3,6.9,32.1,58,47.1,19,31.7,48.70311952,51.27935506,0.017525412,0.913110342,2.06651288,3.892733564,6.202947272,22.60869565,5.52854313,49.01477833,103,100,346.0592593,1.214705882,18.3,35.7,661.9448276,210.9068966,157.2112098,32.67259057,6.561859193,77.71701982,8.885850991,14.21736159,0.960482986,56.6461874,0.580947236,4.367763144,4.071458247,29.38646426,Ken,Outer,535586.7646,188651.2958
Waltham Forest - Higham Hill,00BHGH,E05000600,14200,3500,9550,1150,24.63186078,67.40646798,7.961671246,32.7,32,3.2,4328.1,51.9,40.3,15.7,73.13432836,79.31286359,82.12503774,10.61151079,27.46615087,113.7852464,0.338680927,1,5608,62.58928571,3300,0.35483871,52.7607362,325000,125,25694,4947,5.4,15.9,44.3,34.3,40.8,33.6,21.9,23.11455361,76.88544639,0,1.271590548,3.443891067,5.457242768,7.980500496,30.12658228,9.477796053,51.91637631,38,100,339.747929,1.131347962,23.7,24.7,610.125,198.616,63.3945352,21.03513084,3.108283938,17.1317045,7.083995952,3.39742663,0.71204785,56.68634896,0.717516447,2.612611721,2.348993289,36.20380337,Ken,Outer,536033.5618,190580.0737
Waltham Forest - Hoe Street,00BHGJ,E05000601,14600,3250,10100,1250,22.40470814,69.19181551,8.403476357,33.4,32,1.1,13090.9,49.9,42.8,17.2,79.73333333,77.20267249,82.13494882,11.77606178,24.66843501,123.5323418,0.990581358,5,6453,66.11002971,3100,0.311557789,80.66298343,360000,165,28499,5509,3.2,9.7,25.1,61.9,39.2,27,31.1,55.45685279,44.25308194,0.290065265,1.544132297,2.789400279,4.931261207,8.611210557,22.25352113,6.073472402,52.06971678,60,100,332.8598214,1.143711844,19,36.4,668.5260274,207.690411,101.7560908,24.57138891,3.609356563,43.45110016,8.259873673,7.149302422,0.426955099,10.58694351,0.552704449,5.190927947,3.146959976,36.36917825,Ken,Outer,537695.1517,189062.3349
Waltham Forest - Larkswood,00BHGK,E05000602,12050,2350,7850,1850,19.48807446,65.12922796,15.38269758,38.5,37,2.1,5619,31.2,21.8,6.3,61.66666667,79.48783979,84.85795246,13.06666667,22.83950617,131.3219393,0.751072961,2,5104,69.57470011,2300,0.302631579,18.62068966,332500,135,31880,4547,3.4,26.9,44.3,25.4,68,17.4,12.6,12.28184991,86.30017452,1.417975567,1.424316975,2.395442186,4.078725884,3.984752257,20.18181818,5.931251404,44.78935698,192,100,350.9258503,1.314599483,26.2,21.6,748.6427273,206.4754545,59.13205313,15.90389984,1.522713814,22.24854073,3.891379748,4.483546231,0.261597489,31.37095554,1.108739609,2.845489469,1.56937799,31.56462585,Boris,Outer,537897.2203,192482.2591
Waltham Forest - Lea Bridge,00BHGL,E05000603,16250,4100,10800,1300,25.29563932,66.61739345,8.086967233,32.6,32,2.6,6192.3,64.8,50.4,21.2,102.6315789,75.50917793,80.79400947,9.763313609,21.77589852,135.9789009,0.643745428,9,6671,62.83911078,6100,0.570093458,100,280000,164,25413,5726,5.5,11.2,33.8,49.5,44.5,18.4,34.7,49.83917084,50.03573981,0.12508935,1.209302326,2.604651163,4.651162791,7.89595954,21.08695652,7.78988744,46.88057041,70,100,339.1572254,1.481574318,23,26.6,660.8432203,205.2737288,95.42768274,25.31881804,3.483670295,42.11508554,6.967340591,5.598755832,0.184003925,40.13621209,0.649097731,3.632291367,3.937472349,31.10261313,Ken,Outer,536458.5222,187338.5396
Waltham Forest - Leyton,00BHGM,E05000604,14950,3700,10150,1150,24.61373821,67.80817337,7.578088422,32.1,30,2,7400,63.5,48.8,20.8,83.78378378,78.71657805,82.51680257,11.39896373,19.53781513,118.5351963,0.614533723,2,5956,61.45908575,5700,0.575757576,86.09625668,250000,125,24421,5303,5.1,10.4,29.5,54.9,32.9,34.5,30.1,51.02903344,48.82396178,0.147004778,1.542442034,3.383421236,6.169768136,7.656215637,25.78313253,9.468023814,49.32533733,48,100,321.535625,1.458251058,21.1,28.5,647.7470085,202.3401709,92.09542581,25.75953239,3.4663223,39.89669,8.291986678,5.301434106,1.125753261,27.57174961,0.590551181,3.830592018,2.653399668,28.9183746,Ken,Outer,537622.6298,186639.9688
Waltham Forest - Leytonstone,00BHGN,E05000605,13450,2350,10000,1050,17.60809705,74.43625809,7.955644861,34.5,32,1.3,10269.2,47.6,42.6,15.4,69.09090909,80.55929824,80.89035728,8.310991957,17.36111111,103.803132,0.999701582,3,6887,70.26117119,3800,0.381909548,102.259887,345000,137,37186,4980,3.5,11.6,30.2,54.7,44.5,15.4,37.4,35.01238646,61.31296449,3.67464905,1.25502008,1.857429719,3.564257028,4.858406839,14.71698113,3.80952381,42.49201278,150,100,351.8742268,1.004180602,15.1,40.8,668.02625,207.6775,95.50983631,18.69650098,5.481303499,44.67637783,6.607598739,7.133203184,0.521998509,5.788114427,0.707039337,5.478237733,2.923054879,34.72136414,Ken,Outer,539327.097,187499.0414
Waltham Forest - Markhouse,00BHGP,E05000606,15250,3700,10400,1200,24.18107966,68.00314465,7.815775681,32.7,31,1.5,9733.3,58.2,45.8,19,80.54794521,79.99476814,82.28782244,9.636363636,25.06024096,118.4384649,0.91568763,1,6044,64.19543282,2200,0.222222222,90.66666667,321500,123,27217,4980,6.4,10.7,46.3,36.6,42.8,24.4,29.9,36.78206924,63.15789474,0.060036022,1.332938389,2.419036335,4.295023697,7.557115962,21.51898734,7.730263158,49.33920705,58,100,348.1578571,1.339611054,20.8,30.9,651.1850467,203.9654206,80.26297767,18.07971511,2.739350774,32.66675798,7.122312012,5.889604164,1.323334804,30.87701032,0.630345395,4.189428159,3.334423014,33.28305681,Ken,Outer,536581.7393,188296.2217
Waltham Forest - Valley,00BHGQ,E05000607,11850,2450,7750,1650,20.80236486,65.36317568,13.83445946,37.2,36,2,5900,38.4,25.6,7.9,60.40816327,80.29407504,85.34509064,10.94091904,20.50632911,112.9551228,0.32266071,4,5100,68.11807132,3300,0.431372549,22.85714286,283000,118,30266,4342,5.1,21.3,48.9,24.6,67.6,17.9,13.3,11.19856083,88.28423656,0.517202609,1.235370611,2.730819246,4.811443433,5.517468443,22.75862069,6.29775411,46.46017699,182,100,343.1713376,1.365715916,26.1,20.2,695.1445378,208.902521,122.8234095,19.62116708,2.548203517,74.83224327,5.436167502,4.926526799,0.50804403,17.57021712,1.081037277,2.424145588,1.802838512,31.96099675,Boris,Outer,536887.2991,192296.3465
